ENSG00000000457,1,169863408,SCYL3,-
ENSG00000001630,7,91772266,CYP51A1,-
ENSG00000002549,4,17578815,LAP3,+
ENSG00000002745,7,120965421,WNT16,+
ENSG00000003056,12,9102551,M6PR,-
ENSG00000003249,16,90086536,DBNDD1,-
ENSG00000003402,2,201980827,CFLAR,+
ENSG00000004660,17,3798185,CAMKK1,-
ENSG00000005075,7,102119354,POLR2J,-
ENSG00000005156,17,33307542,LIG3,+
ENSG00000005700,6,82957471,IBTK,-
ENSG00000005882,17,48172101,PDK2,+
ENSG00000006075,17,34417515,,-
ENSG00000006114,17,35969488,,-
ENSG00000006194,16,3313743,ZNF263,+
ENSG00000006282,17,48620419,SPATA20,+
ENSG00000006607,2,242295658,FARP2,+
ENSG00000006695,17,13972846,COX10,+
ENSG00000007255,19,45681485,TRAPPC6A,-
ENSG00000007341,1,113163447,ST7L,-
ENSG00000008382,19,4343524,MPND,+
ENSG00000008517,16,3115298,IL32,+
ENSG00000008988,8,56987069,RPS20,-
ENSG00000010270,7,38217824,STARD3NL,+
ENSG00000010278,12,6308881,CD9,+
ENSG00000010310,19,46171502,GIPR,+
ENSG00000010361,19,50320633,FUZ,-
ENSG00000010626,12,6982733,LRRC23,+
ENSG00000011052,17,49230951,NME1-NME2,+
ENSG00000011105,12,3186521,TSPAN9,+
ENSG00000011295,17,15902782,TTC19,+
ENSG00000011376,3,45429998,LARS2,+
ENSG00000011422,19,44174502,PLAUR,-
ENSG00000011478,19,46195741,QPCTL,+
ENSG00000011566,2,39664453,MAP4K3,-
ENSG00000011638,16,21169698,TMEM159,+
ENSG00000012124,19,35820072,CD22,+
ENSG00000012779,10,45869661,ALOX5,+
ENSG00000013016,2,31456880,EHD3,+
ENSG00000013288,4,6576902,MAN2B2,+
ENSG00000013374,7,151038785,NUB1,+
ENSG00000013503,12,106751436,POLR3B,+
ENSG00000013561,5,141337893,RNF14,+
ENSG00000013583,12,13153207,HEBP1,-
ENSG00000014138,11,65029233,POLA2,+
ENSG00000014164,8,144623623,ZC3H3,-
ENSG00000014257,3,132036211,ACP3,+
ENSG00000015479,5,138609441,MATR3,+
ENSG00000018699,2,32853099,TTC27,+
ENSG00000018869,19,56904889,ZNF582,-
ENSG00000020922,11,94227074,MRE11,-
ENSG00000021300,11,73357223,PLEKHB1,+
ENSG00000021355,6,2842240,SERPINB1,-
ENSG00000022556,19,55476438,NLRP2,+
ENSG00000023892,6,35265595,DEF6,+
